pond.area,water.depth,pH,float.veg,emerg.veg,bushes,bare.ground,TOC,totN,totP,artif.surf,cultiv.area,forest,grassland,wetland,nat.surf,water
-0.337153566,-1.192914755,-0.161160138,-0.865207296,0.317807052,-1.011437948,3.200250779,1.848825263,0.60153884,-0.009040111,2.041244617,-0.518279532,-1.067023466,-0.568461141,-0.719522166,2.328586788,-0.377397933
-0.338374804,-1.640675475,0,-0.865207296,0.71212321,2.428477915,-0.471269806,0,0,0,0.182316143,0.010488275,-0.359088866,0.374350779,-0.731709396,3.058942003,-0.377397933
-0.321888098,0,0,0,0,0,0,0,0,0,0.085845873,1.078280238,-1.000882658,1.1330604,-0.621633194,-0.868303037,-0.377397933
-0.164104222,-0.745154035,-0.302719718,-0.258203225,-0.470825263,0.020536811,0.630186369,-0.124010893,-0.521645279,0.062334543,-0.342823905,-0.321082116,0.762233831,-0.193152927,-0.634062857,-0.360086273,-0.377397933
-0.267054538,-1.192914755,1.112876086,-0.258203225,-1.259457578,-1.011437948,-0.471269806,0.887917997,0.152265193,-0.268584308,-0.781885417,-0.930082963,0.104078781,1.430769039,-0.707198071,-0.613156949,-0.377397933
-0.215640442,-0.745154035,1.112876086,-0.258203225,-1.259457578,-0.667446361,3.200250779,-0.532183891,-0.244593196,-0.298864465,-1.00140584,-1.070639689,-0.25999708,1.915722322,0.099130961,-0.664809424,-0.066048736
0.185169683,-0.073512954,0.829756925,-0.258203225,-0.86514142,-0.667446361,-0.104117748,-0.05598206,-0.364399502,-0.285887255,-0.719408508,-0.094409153,1.072617891,-0.704362234,1.11984078,-0.255639682,-0.377397933
0.138274166,-0.297393314,-0.019600557,-0.865207296,-0.076509105,-1.011437948,-0.471269806,0.947443226,0.878590923,0.101266173,-0.952747715,-1.225539501,0.585997076,0.207856335,2.911180176,-0.81740373,-0.377397933
-0.236157231,0.598128126,0.688197345,-0.258203225,-1.259457578,-1.011437948,1.364490486,-1.038148337,-0.184690043,-0.320493148,-0.512370361,0.659431525,-0.8028768,1.424882533,-0.365162179,2.794581996,-0.377397933
0.254535969,-0.745154035,0.263518604,-0.561705261,-0.86514142,-0.323454775,-0.104117748,-0.540687495,-0.259568984,-0.24046702,0.57727999,1.044293922,-1.659204363,1.349639904,-0.474995701,0.200582394,-0.377397933
-0.214785576,-0.745154035,1.820673988,0.045298811,-0.470825263,0.020536811,2.465946662,-0.741372553,-0.401838973,-0.286302215,-0.171514487,0.497247737,1.01443489,-1.007590691,-0.585015856,-0.868303037,-0.377397933
